姓名,部门,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
员工1,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工2,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工3,房务部,,,,,,,,,,,,,,,,,,,,,"18:36
     ",,,"08:29
     ",,,,,"08:34
18:47","08:32
     ",
员工4,房务部,,,,,,,,,,,,,,,,,"17:55
     ","07:35
     ","08:18
     ",,,,,,,,,,,,
员工5,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工6,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工7,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工8,房务部,"07:58
     ","08:05
     ","08:01
     ","07:59
     ","07:58
     ","07:58
     ","07:59
     ","07:59
     ","07:58
17:49","07:59
     ","08:04
18:31","08:00
     ","07:57
     ","08:00
11:10","08:07
17:52","07:59
     ","07:59
     ","08:02
18:30","08:02
     ","07:57
     ","08:01
     ","07:58
     ","08:03
     ","07:59
     ","08:01
     ","08:04
     ","08:00
     ","08:00
     ","07:58
     ","07:59
     ","07:58
     "
员工9,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工10,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工11,房务部,,,,,,,,,,,,,,,,,,,,,"08:06
12:53",,,"12:14
17:25",,,,,"12:19
17:32",,
员工12,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工13,房务部,"07:38
     ","07:38
     ","07:39
     ","07:39
11:58","07:38
     ","07:38
12:36","07:41
     ","07:41
12:36","07:41
12:49","07:40
18:10","07:41
12:40","07:20
08:05","07:12
11:58","07:11
12:00","08:05
12:06","08:06
12:04","07:13
12:09","08:07
12:03","07:14
17:44","08:04
12:06","11:57
17:28","07:24
11:39","07:07
11:50","07:08
12:23","07:08
     ","06:57
12:45","06:57
12:25","06:58
12:48","07:00
     ","07:00
12:48","07:40
12:42"
员工14,,,,,,,,,,,,,"11:59
17:33","17:27
     ",,"17:41
     ","17:34
     ","17:38
     ","17:33
     ",,"17:37
     ",,"17:29
     ",,,,,,,,,
员工15,房务部,,,,"18:29
     ","12:09
18:01","11:32
     ",,,,,"19:01
     ",,,,,,,,,"18:40
     ",,,,,"17:34
     ",,"12:03
     ","11:51
     ",,,
员工16,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工17,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工18,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
员工19,客房部,"11:57
     ",,,,,,,,,,,,,,,,,"11:17
18:51",,"11:19
     ",,,,,,,,,,,
员工20,房务部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
